description,emoji
vampire,:vampire:
zombie,:zombie:
genie,:genie:
merperson,:merperson:
fairy,:fairy:
angel,:angel:
pregnant,:pregnant_woman:
feeding,:person_feeding_baby:
deaf,:deaf_person:
facepalm,:person_facepalming:
raise,:person_raising_hand:
shrug,:shrug:
whistle,:person_pouting:
haircut,:haircut:
massage,:massage:
nail,:nail_care:
selfie,:selfie:
dance,:dancer:
wheelchair,:person_in_manual_wheelchair:
walk,:walking:
blind,:person_with_probing_cane:
kneel,:person_kneeling:
run,:person_running:
stand,:person_standing:
hold,:people_holding_hands:
relationship,:couple_with_heart:
family,:family:
knot,:knot:
yarn,:yarn:
thread,:thread:
needle,:sewing_needle:
coat,:coat:
shirt,:shirt:
pants,:jeans:
underwear,:briefs:
shorts,:shorts:
dress,:dress:
boot,:boot:
shoe,:athletic_shoe:
sock,:socks:
glove,:gloves:
scraf,:scarf:
hat,:billed_cap:
helmet,:military_helmet:
crown,:crown:
ring,:ring:
purse,:handbag:
briefcase,:briefcase:
bag,:school_satchel:
luggage,:luggage:
glasses,:eyeglasses:
shades,:dark_sunglasses:
umbrella,:umbrella:
dog,:dog:
cat,:cat:
mouse,:mouse:
hamster,:hamster:
rabbit,:rabbit:
fox,:fox:
bear,:bear:
panda,:panda_face:
polar,:polar_bear:
koala,:koala:
tiger,:tiger:
lion,:lion:
cow,:cow:
pig,:pig:
frog,:frog:
monkey,:monkey:
chicken,:chicken:
penguin,:penguin:
bird,:bird:
chick,:hatching_chick:
duck,:duck:
eagle,:eagle:
owl,:owl:
bat,:bat:
wolf,:wolf:
boar,:boar:
horse,:horse:
unicorn,:unicorn:
bee,:bee:
insect,:bug:
butterfly,:butterfly:
snail,:snail:
worm,:worm:
bug,:lady_beetle:
ant,:ant:
fly,:fly:
mosquito,:mosquito:
cockroach,:cockroach:
beetle,:beetle:
cricket,:cricket:
spider,:spider:
web,:spider_web:
scorpion,:scorpion:
turtle,:turtle:
snake,:snake:
lizard,:lizard:
t-rex,:t_rex:
dinosaur,:sauropod:
octopus,:octopus:
squid,:squid:
shrimp,:shrimp:
lobster,:lobster:
crab,:crab:
fish,:fish:
seal,:seal:
dolphin,:dolphin:
whale,:whale:
shark,:shark:
alligator,:crocodile:
leopard,:leopard:
zebra,:zebra:
gorilla,:gorilla:
orangutan,:orangutan:
elephant,:elephant:
bison,:bison:
hippo,:hippopotamus:
rhino,:rhino:
camel,:camel:
giraffe,:giraffe:
kangaroo,:kangaroo:
ox,:ox:
ram,:ram:
sheep,:sheep:
llama,:llama:
goat,:goat:
deer,:deer:
feather,:feather:
turkey,:turkey:
dodo,:dodo:
peacock,:peacock:
parrot,:parrot:
swan,:swan:
flamingo,:flamingo:
dove,:dove:
raccoon,:raccoon:
skunk,:skunk:
badger,:badger:
beaver,:beaver:
otter,:otter:
sloth,:sloth:
rat,:rat:
squirrel,:chipmunk:
hedgehog,:hedgehog:
paw,:feet:
dragon,:dragon:
cactus,:cactus:
holiday,:christmas_tree:
tree,:evergreen_tree:
seedling,:seedling:
herb,:herb:
clover,:four_leaf_clover:
bamboo,:bamboo:
leaf,:leaves:
fall,:fallen_leaf:
nest,:nest_with_eggs:
mushroom,:mushroom:
shell,:shell:
coral,:coral:
rock,:rock:
wood,:wood:
bouquet,:bouquet:
rose,:rose:
tulip,:tulip:
lotus,:lotus:
blossom,:blossom:
sunflower,:sunflower:
sun,:sun_with_face:
moon,:full_moon_with_face:
crescent,:crescent_moon:
americas,:earth_americas:
africa,:earth_africa:
asia,:earth_asia:
planet,:ringed_planet:
star,:star2:
sparkle,:sparkles:
shock,:zap:
comet,:comet:
explode,:boom:
fire,:fire:
tornado,:cloud_tornado:
rainbow,:rainbow:
cloud,:cloud:
rain,:cloud_rain:
storm,:thunder_cloud_rain:
snow,:cloud_snow:
snowflake,:snowflake:
snowman,:snowman2:
wind,:dash:
splash,:sweat_drops:
water,:ocean:
fog,:fog:
apple,:apple:
pear,:pear:
orange,:tangerine:
lemon,:lemon:
banana,:banana:
watermelon,:watermelon:
grape,:grapes:
blueberries,:blueberries:
strawberry,:strawberry:
melon,:melon:
cherry,:cherries:
peach,:peach:
mango,:mango:
pineapple,:pineapple:
coconut,:coconut:
kiwi,:kiwi:
tomato,:tomato:
eggplant,:eggplant:
avocado,:avocado:
olive,:olive:
broccoli,:broccoli:
lettuce,:leafy_green:
pepper,:bell_pepper:
cucumber,:cucumber:
spicy,:hot_pepper:
corn,:corn:
carrot,:carrot:
garlic,:garlic:
onion,:onion:
potato,:potato:
sweet,:sweet_potato:
croissant,:croissant:
bagel,:bagel:
bread,:bread:
baguette,:french_bread:
flatbread,:flatbread:
pretzel,:pretzel:
cheese,:cheese:
egg,:egg:
cook,:cooking:
butter,:butter:
pancake,:pancakes:
waffle,:waffle:
bacon,:bacon:
steak,:cut_of_meat:
meat,:poultry_leg:
rib,:meat_on_bone:
bone,:bone:
hotdog,:hotdog:
burger,:hamburger:
fry,:fries:
pizza,:pizza:
sandwich,:sandwich:
falafel,:falafel:
taco,:taco:
burrito,:burrito:
salad,:salad:
can,:canned_food:
jar,:jar:
spaghetti,:spaghetti:
ramen,:ramen:
soup,:stew:
curry,:curry:
sushi,:sushi:
dumpling,:dumpling:
oyster,:oyster:
rice,:rice:
fortune,:fortune_cookie:
treat,:icecream:
pie,:pie:
cupcake,:cupcake:
cake,:cake:
birthday,:birthday:
lollipop,:lollipop:
candy,:candy:
chocolate,:chocolate_bar:
popcorn,:popcorn:
donut,:doughnut:
cookie,:cookie:
nut,:peanuts:
bean,:beans:
honey,:honey_pot:
milk,:milk:
pour,:pouring_liquid:
bottle,:baby_bottle:
coffee,:coffee:
tea,:tea:
juice,:beverage_box:
cup,:cup_with_straw:
boba,:bubble_tea:
beer,:beer:
champagne,:champagne:
wine,:wine_glass:
alcohol,:whisky:
cocktail,:cocktail:
tropical,:tropical_drink:
ice,:ice_cube:
spoon,:spoon:
fork,:fork_and_knife:
plate,:fork_knife_plate:
bowl,:bowl_with_spoon:
takeout,:takeout_box:
chopstick,:chopsticks:
salt,:salt:
soccer,:soccer:
basketball,:basketball:
football,:football:
baseball,:baseball:
softball,:softball:
tennis,:tennis:
volleyball,:volleyball:
rugby,:rugby_football:
disc,:flying_disc:
8ball,:8ball:
yo-yo,:yo_yo:
pong,:ping_pong:
badminton,:badminton:
hockey,:hockey:
field,:field_hockey:
lacrosse,:lacrosse:
boomerang,:boomerang:
goal,:goal:
golf,:golf:
kite,:kite:
park,:playground_slide:
archery,:archery:
fishing,:fishing_pole_and_fish:
dive,:diving_mask:
box,:boxing_glove:
karate,:martial_arts_uniform:
skateboard,:skateboard:
skate,:roller_skate:
sled,:sled:
ski,:skier:
snowboard,:snowboarder:
parachute,:parachute:
wrestle,:wrestling:
fence,:fencer:
golfer,:golfer:
meditate,:person_in_lotus_position:
surf,:surfer:
swim,:swimmer:
rowboat,:rowboat:
climb,:person_climbing:
bike,:bicyclist:
trophy,:trophy:
medal,:medal:
ribbon,:reminder_ribbon:
ticket,:ticket:
juggle,:juggler:
act,:performing_arts:
art,:art:
sing,:microphone:
headphones,:headphones:
piano,:musical_keyboard:
drum,:drum:
saxophone,:saxophone:
trumpet,:trumpet:
guitar,:guitar:
banjo,:banjo:
violin,:violin:
dice,:game_die:
chess,:chess_pawn:
dart,:dart:
bowling,:bowling:
game,:video_game:
gamble,:slot_machine:
puzzle,:jigsaw:
car,:red_car:
taxi,:taxi:
truck,:pickup_truck:
bus,:bus:
race,:race_car:
emergency,:ambulance:
tractor,:tractor:
scooter,:scooter:
motorcycle,:motorcycle:
wheel,:wheel:
train,:steam_locomotive:
airplane,:airplane:
seat,:seat:
satellite,:satellite_orbital:
rocket,:rocket:
ufo,:flying_saucer:
helicopter,:helicopter:
sail,:sailboat:
boat,:motorboat:
cruise,:cruise_ship:
ship,:ship:
gas,:fuelpump:
barrier,:construction:
map,:map:
moyai,:moyai:
liberty,:statue_of_liberty:
castle,:european_castle:
stadium,:stadium:
ferris,:ferris_wheel:
coaster,:roller_coaster:
carnival,:carousel_horse:
fountain,:fountain:
beach,:beach:
island,:island:
desert,:desert:
volcano,:volcano:
mountain,:mountain:
camp,:camping:
house,:house_with_garden:
hut,:hut:
factory,:factory:
office,:office:
store,:department_store:
hospital,:hospital:
bank,:bank:
hotel,:hotel:
school,:school:
wedding,:wedding:
church,:church:
shrine,:shinto_shrine:
sunrise,:sunrise:
firework,:fireworks:
city,:city_dusk:
universe,:milky_way:
bridge,:bridge_at_night:
watch,:watch:
phone,:iphone:
computer,:computer:
keyboard,:keyboard:
pc,:desktop:
print,:printer:
click,:mouse_three_button:
joystick,:joystick:
disk,:floppy_disk:
"cd,cds",:cd:
dvd,:dvd:
camera,:camera:
video,:video_camera:
tv,:tv:
radio,:radio:
compass,:compass:
stopwatch,:stopwatch:
timer,:timer:
alarm,:alarm_clock:
hourglass,:hourglass:
battery,:battery:
plug,:electric_plug:
light,:bulb:
flashlight,:flashlight:
candle,:candle:
extinguisher,:fire_extinguisher:
oil,:oil:
money,:dollar:
coin,:coin:
debt,:credit_card:
id,:identification_card:
gem,:gem:
scale,:scales:
ladder,:ladder:
tool,:screwdriver:
wrench,:wrench:
hammer,:hammer:
mine,:pick:
saw,:carpentry_saw:
bolt,:nut_and_bolt:
gear,:gear:
trap,:mouse_trap:
bricks,:bricks:
chain,:chains:
magnet,:magnet:
gun,:gun:
bomb,:bomb:
axe,:axe:
knife,:knife:
sword,:crossed_swords:
shield,:shield:
smoke,:smoking:
coffin,:coffin:
grave,:headstone:
urn,:urn:
crystal,:crystal_ball:
barber,:barber:
telescope,:telescope:
microscope,:microscope:
hole,:hole:
x-ray,:x_ray:
bandage,:adhesive_bandage:
pill,:pill:
syringe,:syringe:
blood,:drop_of_blood:
dna,:dna:
germ,:microbe:
temperature,:thermometer:
clean,:broom:
plunger,:plunger:
toilet,:toilet:
shower,:shower:
soap,:soap:
toothbrush,:toothbrush:
razor,:razor:
bell,:bellhop:
key,:key:
couch,:couch:
bed,:bed:
gift,:gift:
balloon,:balloon:
tada,:tada:
letter,:envelope:
package,:package:
mail,:mailbox_with_mail:
receipt,:receipt:
chart,:bar_chart:
stock,:chart_with_upwards_trend:
calendar,:calendar:
trash,:wastebasket:
file,:dividers:
newspaper,:newspaper2:
notebook,:notebook:
book,:books:
link,:link:
paperclip,:paperclip:
measure,:straight_ruler:
math,:abacus:
scissor,:scissors:
pen,:pen_ballpoint:
paintbrush,:paintbrush:
crayon,:crayon:
pencil,:pencil2:
lock,:lock:
unlock,:unlock:
heart,:heart:
broken,:broken_heart:
sos,:sos:
wrong,:x:
stop,:no_entry:
underage,:underage:
warn,:warning:
recycle,:recycle:
right,:white_check_mark:
zero,:zero:
one,:one:
two,:two:
three,:three:
four,:four:
five,:five:
six,:six:
seven,:seven:
eight,:eight:
nine,:nine:
ten,:keycap_ten:
number,:1234:
music,:musical_note:
mute,:mute:
sound,:sound:
thought,:thought_balloon:
joker,:black_joker:
female,:female_sign:
male,:male_sign:
flag,:flag_white:
red,:triangular_flag_on_post:
pride,:rainbow_flag:
pirate,:pirate_flag:
mexico,:flag_mx:
canada,:flag_ca:
america,:flag_us:
